Epoch:,12700,Training Loss:,4399.843902656189, Learning rate:,0.0028507718749999993, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,12800,Training Loss:,13392715286961.354, Learning rate:,0.0028507718749999993, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,12900,Training Loss:,11295933.586339269, Learning rate:,0.0028507718749999993, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,13000,Training Loss:,3.946599639427621e+25, Learning rate:,0.0028507718749999993, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,13100,Training Loss:,4315.725343936075, Learning rate:,0.0028507718749999993, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,13200,Training Loss:,4.1335543253962414e+23, Learning rate:,0.0028507718749999993, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,13300,Training Loss:,4924.235258081331, Learning rate:,0.0028507718749999993, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,13400,Training Loss:,4236.501378778703, Learning rate:,0.0028507718749999993, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,13500,Training Loss:,4563.703118930954, Learning rate:,0.0028507718749999993, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,13600,Training Loss:,4186.952816009325, Learning rate:,0.0028507718749999993, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,13700,Training Loss:,4180.907649506053, Learning rate:,0.0028507718749999993, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,13800,Training Loss:,4142.284832074083, Learning rate:,0.0028507718749999993, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,13900,Training Loss:,4205.225575603139, Learning rate:,0.0028507718749999993, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,14000,Training Loss:,3485799178.4657307, Learning rate:,0.0028507718749999993, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,14100,Training Loss:,4073.9046709387926, Learning rate:,0.0028507718749999993, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,14200,Training Loss:,4051.748486515156, Learning rate:,0.0028507718749999993, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,14300,Training Loss:,24154.7167578818, Learning rate:,0.0028507718749999993, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,14400,Training Loss:,4006.8445396696725, Learning rate:,0.0028507718749999993, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,14500,Training Loss:,4412.8451360648105, Learning rate:,0.0028507718749999993, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,14600,Training Loss:,15219.586293345641, Learning rate:,0.0028507718749999993, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,14700,Training Loss:,8726250255.91669, Learning rate:,0.0028507718749999993, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
